device,trust
28e7cf043880,0.966068844693198
182032029822,0.9656558162503419
581faa069193,0.9658553379982879
a00bba118162,0.9657114661036695
78ca39095146,0.965745919755639
040cce014553,0.9659229160730454
40a6d9055355,0.9660368284858211
182032029867,0.9653255490925575
6c3e6d085884,0.965625239510688
00c610013332,0.9659244890690604
d89e3f140851,0.9658609209950769
789ed0093235,0.9658810485490187
189efc033699,0.9659628448957903
90840d109359,0.96591815076661
7c11be096913,0.9660679027893131
f81edf161595,0.9658279399012315
542696067862,0.9657628421148555
e80688151215,0.9656130944982976
e0b9ba145914,0.96588105696738
145a05026286,0.9659789135638609
182032030198,0.9658462267985503
18e7f4034606,0.9651862194374267
64b9e8081209,0.9653953472424142
e0f847148516,0.9658189280672422
e4ce8f151029,0.9652483405130913
50ead6066590,0.9654850292343822
3085a9045500,0.9656996840850844
e0f847148713,0.9659531598545774
88c663104848,0.9653362092998011
00c610013297,0.965642710747105
148fc6027556,0.9658008118142368
a46706119347,0.9658232689357948
7c11be097108,0.9657339235310046
002608008204,0.9658023328361955
ec852f153517,0.9657428036389454
7c11be097032,0.9659009209751187
00c610013191,0.9658009982870633
50ead6066208,0.9657358932014565
182032030182,0.965735075659044
28e7cf044062,0.9656799182398266
9803d8111175,0.9657254972426152
b8ff61127576,0.965929173202934
50ead6066427,0.9659053933217121
5c5948073845,0.9657507910470461
f0b479155312,0.9656147444968021
88c663105054,0.965874141460355
60334b077335,0.965916853335355
88308a103289,0.9657638529331143
dc2b61144816,0.9658832146769454
283737040894,0.9656328918672693
7cc537098658,0.9659092042698854
d89e3f141246,0.9656549521092028
705681088140,0.9656864716790253
5c95ae074355,0.9657977188451574
183451031594,0.9659676465481394
60facd078352,0.9656589988392037
64b9e8081376,0.9657304823739865
002608008123,0.9657181584228263
24ab81040325,0.9656343918293652
98d6bb115070,0.9657320779929005
00f4b9013593,0.966034449496514
002608008218,0.9655656371337923
b8c75d126915,0.9660201061180884
e0f847148295,0.9659743435293242
148fc6027667,0.9658611052589439
40a6d9056147,0.9654575936153261
