device,trust
9803d8110986,0.64
040cce014637,1.0
7c6d62097654,0.9375
8c7b9d106420,0.72
182032029703,1.0
cc08e0134826,0.9333333333333333
00c610013187,0.9230769230769231
e4ce8f150857,0.7857142857142857
60c547077957,0.9230769230769231
040cce014370,0.9142857142857143
189efc032996,1.0
7cc537099172,0.9411764705882353
f0b479155321,0.9473684210526315
b8c75d126841,0.8148148148148148
6c3e6d085428,1.0
e0f847148456,1.0
50465d063922,0.9285714285714286
6c3e6d085739,0.9142857142857143
0c715d020376,0.9230769230769231
7073cb088546,1.0
442a60058271,1.0
980c82113165,0.5833333333333334
0c74c2021361,0.9696969696969697
34159e046616,1.0
189efc033126,0.9375
7073cb088467,0.8125
7073cb088655,0.72
f0b479155600,0.96
dc2b61144911,1.0
842999100759,1.0
d83062140066,1.0
5855ca070195,0.972972972972973
206432039365,1.0
4860bc060610,0.9696969696969697
002436006914,0.9565217391304348
fc253f163210,1.0
b8c75d126843,1.0
1040f3023187,0.96
7c11be097311,0.9
58b035070633,1.0
7073cb088497,1.0
581faa069280,1.0
60334b077212,0.9473684210526315
50ead6065715,1.0
9803d8111772,0.8666666666666667
cc08e0136143,0.9375
145a05025821,1.0
7cc3a1097977,0.9166666666666666
88c663104858,1.0
98d6bb114799,1.0
64b9e8080502,1.0
206432038916,1.0
1caba7035743,0.7333333333333333
28e02c043588,0.5454545454545454
64b9e8081167,1.0
dc2b61144989,0.9375
4860bc060546,0.9696969696969697
14dae9028827,1.0
18e7f4034501,0.875
88c663104495,1.0
b8c75d126610,1.0
5c5948074127,1.0
e80688151441,0.972972972972973
b8c75d126788,1.0
bc6778129779,1.0
a00bba118221,0.9411764705882353
8c7b9d106470,1.0
50465d064003,1.0
14109f024765,0.9411764705882353
18e7f4034532,1.0
0c74c2021433,1.0
18e7f4034505,0.9032258064516129
28cfda042139,0.9714285714285714
5c5948074179,0.9411764705882353
8c7b9d106408,0.9090909090909091
182032030188,1.0
542696068285,0.9714285714285714
0c74c2021129,1.0
206432038681,1.0
4860bc060434,0.875
88c663104856,0.9090909090909091
542696068150,1.0
0c6076020246,0.0016722408026755853
b8c75d126767,1.0
d8b12a143417,1.0
145a05025319,1.0
842999100760,1.0
7c11be096541,0.918918918918919
403004054942,0.967741935483871
40d32d058016,0.967741935483871
50ead6065491,1.0
d05162137978,0.8235294117647058
98d6bb114732,0.9333333333333333
9803d8111521,0.9696969696969697
44d884059748,0.7777777777777778
64b9e8080954,0.875
d83062140043,0.9142857142857143
6cc26b086879,1.0
cc08e0135993,0.9787234042553191
24ab81040524,1.0
5c0a5b071785,1.0
283737041196,1.0
044665015904,1.0
e0f847148097,1.0
c8bcc8134163,1.0
e80688151451,1.0
5cff35076381,0.9655172413793104
b8c75d126951,0.9714285714285714
0026e8009740,0.8235294117647058
90840d109373,0.9696969696969697
145a05025549,0.9473684210526315
286aba041402,0.9
b8c75d126723,1.0
8c7b9d106410,1.0
28e02c042984,0.7857142857142857
182032030322,1.0
002241004960,0.9142857142857143
6021c0076506,1.0
28cfe9042367,0.8888888888888888
5855ca070231,0.9
7cc537098703,0.7027027027027027
0016d4001817,1.0
980c82112376,1.0
147dc5026692,1.0
e4ce8f150396,1.0
206432039281,1.0
18e7f4034513,0.9696969696969697
a0f450118911,0.6666666666666666
18e7f4034295,0.8
d49a20139413,0.9444444444444444
18e7f4034555,1.0
d89e3f141843,1.0
0007ab000227,0.8181818181818182
040cce014507,0.9444444444444444
7073cb088570,0.9523809523809523
e0f847148629,1.0
44d884059645,0.96
d49a20139461,1.0
18e7f4034393,0.9032258064516129
283737041108,0.7692307692307693
0c74c2021221,1.0
041e64015465,1.0
00c610013398,0.8125
f0b479155307,0.967741935483871
6c3e6d084771,0.8125
206432038948,1.0
206432039076,1.0
64b9e8081070,0.967741935483871
f81edf161137,1.0
0026b0009117,0.9090909090909091
b8c75d126709,0.7142857142857143
b8c68e126417,1.0
d89e3f142438,0.5454545454545454
e0f847149220,1.0
0026b0009005,1.0
6c3e6d085793,0.7272727272727273
148fc6027565,0.9090909090909091
206432039001,0.9411764705882353
d05162137776,0.9696969696969697
206432039443,1.0
206432038318,0.875
e4ce8f150404,1.0
148fc6028162,1.0
24ab81040176,0.9444444444444444
b8c75d127016,0.9696969696969697
24ab81040129,0.8888888888888888
206432038564,1.0
980c82113235,1.0
88c663104604,1.0
5c0a5b071195,1.0
182032029988,1.0
705681088370,0.9655172413793104
f0b479155544,0.4827586206896552
a4d1d2119582,1.0
c8aa21134037,0.9411764705882353
705681088302,0.9166666666666666
18e7f4034301,1.0
6cc26b086510,1.0
50465d063927,0.896551724137931
64b9e8080976,0.9696969696969697
980c82113346,1.0
6cc26b086426,0.9375
38e7d8051604,0.875
842999100645,1.0
b8c75d126883,0.9523809523809523
cc08e0135969,0.9714285714285714
e80688151584,1.0
60fb42079063,0.9375
6c3e6d085679,0.967741935483871
14109f024710,1.0
c86000133602,1.0
0c74c2020983,0.9
581faa069896,0.64
e0f847148902,0.9411764705882353
88c663104493,1.0
0017ca002224,1.0
980c82112551,0.4
109add023983,1.0
00254b007356,0.9565217391304348
74e2f5091079,0.9333333333333333
0026b0008988,0.9696969696969697
a00bba118171,1.0
40d32d058036,1.0
f0b479155462,0.9714285714285714
0026b0009120,0.9230769230769231
5c5948074075,0.9444444444444444
00c610013213,0.9333333333333333
e80688151313,1.0
e80688151598,1.0
b8c75d126693,0.9629629629629629
f81edf160942,1.0
c09f42131267,0.9473684210526315
c8bcc8134113,0.9655172413793104
b8c75d126944,0.9714285714285714
cc08e0135330,1.0
88c663104649,0.9444444444444444
e0f847149151,1.0
88c663104655,1.0
7cc537099039,0.6153846153846154
6c3e6d085731,1.0
980c82112514,1.0
28e7cf043867,0.9714285714285714
b065bd123568,1.0
bc6778129773,1.0
00c610013249,1.0
7073cb088531,1.0
d023db137551,0.9230769230769231
6c3e6d084735,1.0
24ab81040210,1.0
0c74c2021343,0.9375
183451031567,0.9444444444444444
e0f847149268,0.8888888888888888
50ead6066324,0.9411764705882353
0026bb009437,0.5714285714285714
00254b007370,1.0
cc08e0135137,0.9696969696969697
d8a25e143230,1.0
b8c75d126917,0.9411764705882353
5855ca070213,0.972972972972973
e4ce8f150244,0.8205128205128205
78a3e4093412,0.9714285714285714
68a86d083601,0.7692307692307693
7c11be096586,0.9411764705882353
0c74c2020658,0.9696969696969697
18e7f4034285,0.972972972972973
18e7f4034519,0.9333333333333333
c8bcc8134183,1.0
d8a25e143145,1.0
286aba041406,1.0
206432039373,1.0
a80600120206,1.0
5c5948074143,0.9696969696969697
980c82113377,1.0
206432039488,0.9333333333333333
206432038945,0.96
206432038606,1.0
109add024242,1.0
58b035070589,1.0
044665016096,1.0
