,182032030284,90840d109110,88c663104694,18e7f4034532,0026bb009385,3451c9046918,2002af036879,0017ca002223,542696068081,f0b479155552,109add024303,88c663104717,18002d029353,109add023748,f81edf161641,88308a103252,40a6d9055554,50465d063920,18e7f4034554,50ead6066179,7073cb088669,40d32d058036,50465d063918,3ce072054396,f0b479155600,88c663104649,b8c75d126723,98d6bb114732,7c11be096991,045453016201,6c3e6d084735,88c663104702,4860bc060546,50ead6066324,58b035070589,3c438e052183,98d6bb114799,980c82112376,14dae9028827,a4d1d2119743,bcb1f3130520,44d884059645,183f47032016,206432038606,206432039135,b8c75d126640,c42c03132175,542696068150,f81edf160942,5c5948074037,a4d1d2119622,148fc6028613,0026bb009437,5c5948074023,4cbca5063449,3085a9045488,7c11be096586,5c0a5b071195,109add024242,044665015679,705681088211,283737041212,28cfda042252,206432039281,18e7f4034561,206432039465,68a86d083601,24ab81040006,a826d9120514,286aba041402,60facd078342,3085a9045448,206432038916,f0b479155321,88c663104708,fc253f162845,705681088058,e0f847148902,88c663104495,50ead6065491,e4b021150169,7cd1c3099260,4860bc061048,7cc537098812,7c11be096603,1040f3023220,18e7f4034552,581faa069082,002608007960,dc2b61144910,d05162137790,d83062140025,5855ca070231,c8bcc8134135,18e7f4034483,5001bb063827,e4ce8f150404,7073cb088497,cc08e0135180,18e7f4034513
182032030284,0.9838709677419359/1.0,0.4791969953093966/0.0,0.5072123810437222/0.06451612903225806,0.47774137439762865/0.0,0.47797594966745005/0.0,0.5074577179111764/0.06451612903225806,0.5081397054280374/0.06451612903225806,0.47879341509386314/0.0,0.5112924245644478/0.06896551724137931,0.4732259088749933/0.0,0.5210434878549682/0.10526315789473684,0.5086220454750733/0.06451612903225806,0.47670609035954303/0.0,0.47834064308089147/0.0,0.4787657285554339/0.0,0.4792208533551775/0.0,0.4791969953093966/0.0,0.4771338331374055/0.0,0.4752037920794318/0.0,0.47586442711878985/0.0,0.4791969953093966/0.0,0.4767176359682487/0.0,0.5267882849539428/0.09523809523809523,0.4773069263190751/0.0,0.553374944607205/0.14814814814814814,0.4739649462072905/0.0,0.4782678345853506/0.0,0.4781261786299011/0.0,0.5121148436106082/0.06896551724137931,0.47754053629127513/0.0,0.5457037246251506/0.13793103448275862,0.475557557230254/0.0,0.5090406821718889/0.06451612903225806,0.4777248236469214/0.0,0.521060599891594/0.08695652173913043,0.47873364821654674/0.0,0.47783979643111246/0.0,0.47446089768136385/0.0,0.4775654447549986/0.0,0.5169987486171959/0.07692307692307693,0.526738979406744/0.09523809523809523,0.4764993889830047/0.0,0.4784881968286099/0.0,0.47894745084455004/0.0,0.5116399706786817/0.07142857142857142,0.5424135821411169/0.125,0.5039759991701085/0.06060606060606061,0.47797214248501696/0.0,0.4742461375818839/0.0,0.5392605772475838/0.125,0.47773797421215675/0.0,0.4791969953093966/0.0,0.4787616251698259/0.0,0.5147486285571001/0.07407407407407407,0.47757089673051845/0.0,0.5267581751059731/0.09523809523809523,0.4745990004211061/0.0,0.4791969953093966/0.0,0.47719836040102925/0.0,0.4751024079443393/0.0,0.5112807415253259/0.07142857142857142,0.5097389148846999/0.06451612903225806,0.47717109881289005/0.0,0.5073962429178327/0.0625,0.4777477043329161/0.0,0.47726758640206657/0.0,0.509625011251764/0.06451612903225806,0.4791969953093966/0.0,0.5089320332620808/0.06451612903225806,0.4774138959272195/0.0,0.4791969953093966/0.0,0.4773479847412982/0.0,0.47789439597330635/0.0,0.5027821807744614/0.05714285714285714,0.4766694991005668/0.0,0.5388909890339745/0.12903225806451613,0.517227161530122/0.08,0.4779376954925452/0.0,0.5067844236240442/0.0625,0.5240332173509192/0.09090909090909091,0.4791969953093966/0.0,0.4753130142865151/0.0,0.4791969953093966/0.0,0.47773205012780107/0.0,0.4777951901903737/0.0,0.5177619496866692/0.07692307692307693,0.5061751523537562/0.06451612903225806,0.47539680957695274/0.0,0.5071487281335125/0.06451612903225806,0.4791969953093966/0.0,0.4782227658136199/0.0,0.4781855495945779/0.0,0.5275314326392649/0.1111111111111111,0.5132787022157143/0.07142857142857142,0.47577679301374554/0.0,0.47487027815240435/0.0,0.5063111074034004/0.0625,0.610245323627617/0.2608695652173913,0.4773798465472105/0.0,0.5083065349336018/0.0625
90840d109110,0.5063143723917375/0.0625,0.5325711474892153/0.1111111111111111,0.6290833563165101/0.30303030303030304,0.5116216625361689/0.07142857142857142,0.5604188765188755/0.16666666666666666,0.5352780990628345/0.12121212121212122,0.5986105467402804/0.24242424242424243,0.5221778732499613/0.09090909090909091,0.5404684186719788/0.12903225806451613,0.5339894375713163/0.12121212121212122,0.621372120060204/0.3,0.5676097521292199/0.18181818181818182,0.4738880210768887/0.0,0.521987017064978/0.09090909090909091,0.5165745572542233/0.08,0.4762336723148111/0.0,0.5325711474892153/0.1111111111111111,0.5066952211887725/0.0625,0.5042789287571632/0.06060606060606061,0.47404921036476294/0.0,0.5325711474892153/0.1111111111111111,0.5369093129334406/0.12121212121212122,0.5642356123995852/0.17391304347826086,0.507907090631/0.06451612903225806,0.5106078098923909/0.06896551724137931,0.587327985209076/0.2222222222222222,0.47581036666867516/0.0,0.508233883216358/0.06451612903225806,0.5411611729962621/0.12903225806451613,0.4751099012532678/0.0,0.5719365902641068/0.1935483870967742,0.5344676938855568/0.11764705882352941,0.5676060103024253/0.18181818181818182,0.4750129615835158/0.0,0.5976068987340778/0.24,0.5184326224012199/0.08333333333333333,0.5174396952198929/0.08333333333333333,0.5690996174801812/0.1875,0.5092023972182644/0.06666666666666667,0.4749502213491012/0.0,0.4755633956810897/0.0,0.5096374205638128/0.06896551724137931,0.5239825521498261/0.09523809523809523,0.47609928979661365/0.0,0.5415436345963032/0.13333333333333333,0.536240484474166/0.11764705882352941,0.500836251855871/0.05714285714285714,0.5200882955888743/0.08695652173913043,0.508305544248998/0.07142857142857142,0.5953671456662153/0.23529411764705882,0.47540421072447736/0.0,0.5325711474892153/0.1111111111111111,0.4758171158448841/0.0,0.6522381252956572/0.3448275862068966,0.5173797392547737/0.08333333333333333,0.5641679324512155/0.17391304347826086,0.5319098753093788/0.11428571428571428,0.520493852803225/0.08695652173913043,0.5059289892639098/0.06060606060606061,0.5041010936276162/0.06060606060606061,0.5761768541988015/0.2,0.5370004595664273/0.12121212121212122,0.47445047277313684/0.0,0.5029619578256391/0.058823529411764705,0.47477301774942204/0.0,0.5142294866698439/0.07692307692307693,0.5367737729011568/0.12121212121212122,0.5325711474892153/0.1111111111111111,0.5673117816789026/0.18181818181818182,0.5113574848651165/0.07142857142857142,0.5325711474892153/0.1111111111111111,0.4748276103955086/0.0,0.5147812494741807/0.07692307692307693,0.5279835098347219/0.10810810810810811,0.5165961689192792/0.08333333333333333,0.5336048370217472/0.12121212121212122,0.5502573735448799/0.14814814814814814,0.5342391167733153/0.11428571428571428,0.5643194269867734/0.17647058823529413,0.47464447710710905/0.0,0.5325711474892153/0.1111111111111111,0.5073981411256806/0.06666666666666667,0.5325711474892153/0.1111111111111111,0.47524681443656924/0.0,0.5415088418920817/0.12903225806451613,0.5857061774809733/0.21428571428571427,0.5342115850993863/0.12121212121212122,0.5988413199408491/0.24242424242424243,0.5663918716566527/0.18181818181818182,0.5325711474892153/0.1111111111111111,0.5180308381553588/0.08333333333333333,0.47536541798557086/0.0,0.5782116112352202/0.21052631578947367,0.6116283015494025/0.26666666666666666,0.5131390097342049/0.07692307692307693,0.5038088647261787/0.06060606060606061,0.5025833126390541/0.058823529411764705,0.5564655452253912/0.16,0.5411118821993198/0.12903225806451613,0.5959966134111273/0.23529411764705882
88c663104694,0.5083802042689155/0.06666666666666667,0.5395187902960645/0.125,0.8673642070988139/0.7741935483870968,0.514497672471147/0.07692307692307693,0.5679894050904392/0.18181818181818182,0.6391223341213299/0.3225806451612903,0.6065469343698948/0.25806451612903225,0.5268015161802364/0.1,0.5096413607938296/0.06896551724137931,0.5715506079401618/0.1935483870967742,0.6573120573218717/0.3684210526315789,0.5403583750235934/0.12903225806451613,0.473725557131651/0.0,0.5266536021037564/0.1,0.5200883497217588/0.08695652173913043,0.47623687067721576/0.0,0.5395187902960645/0.125,0.5432429934117645/0.13333333333333333,0.5063696086632732/0.06451612903225806,0.4743586536951276/0.0,0.5395187902960645/0.125,0.5741981269148627/0.1935483870967742,0.5725309346956687/0.19047619047619047,0.5455965525884233/0.13793103448275862,0.513432417528441/0.07407407407407407,0.5636917467613379/0.17647058823529413,0.5184697386708136/0.08333333333333333,0.5104583943245496/0.06896551724137931,0.5459535945936892/0.13793103448275862,0.5568850049335664/0.16,0.5788437266791716/0.20689655172413793,0.5061473692374212/0.0625,0.5736506612221172/0.1935483870967742,0.5193595064892929/0.08695652173913043,0.6082469427684274/0.2608695652173913,0.5222499547285753/0.09090909090909091,0.5212165571090666/0.09090909090909091,0.5411310234048976/0.13333333333333333,0.5116708466694745/0.07142857142857142,0.4750718102436453/0.0,0.475587810102995/0.0,0.5872954078303978/0.2222222222222222,0.5289536582306816/0.10526315789473684,0.47617771781469537/0.0,0.5464713510888387/0.14285714285714285,0.5721158024760322/0.1875,0.5030015225450721/0.06060606060606061,0.5244500095049625/0.09523809523809523,0.5112060622403956/0.07692307692307693,0.6028255587062172/0.25,0.521886617104269/0.09090909090909091,0.5395187902960645/0.125,0.47590047931185947/0.0,0.5891843789149923/0.2222222222222222,0.5213681319652688/0.09090909090909091,0.5724554406552858/0.19047619047619047,0.53551849370685/0.12121212121212122,0.5246378379151121/0.09523809523809523,0.5411871940155368/0.12903225806451613,0.5394337347653502/0.12903225806451613,0.6573837003909261/0.35714285714285715,0.5411527861027599/0.12903225806451613,0.47470172704569097/0.0,0.5370590414495354/0.125,0.47480390633350145/0.0,0.5176145396933067/0.08333333333333333,0.5740591006992172/0.1935483870967742,0.5395187902960645/0.125,0.5400510196346506/0.12903225806451613,0.5535049908660906/0.15384615384615385,0.5395187902960645/0.125,0.4749831916162234/0.0,0.5606062749431968/0.16666666666666666,0.5608877356799032/0.17142857142857143,0.5203903739050872/0.09090909090909091,0.537867767729552/0.12903225806451613,0.6382431920275499/0.32,0.5065330255015722/0.06060606060606061,0.5700645247310194/0.1875,0.4745195789452353/0.0,0.5395187902960645/0.125,0.6198852090844365/0.2857142857142857,0.5395187902960645/0.125,0.47548596927965964/0.0,0.546086905356976/0.13793103448275862,0.5544425251104044/0.15384615384615385,0.571842292465351/0.1935483870967742,0.540397005433441/0.12903225806451613,0.539018739141621/0.12903225806451613,0.5395187902960645/0.125,0.5219020734734231/0.09090909090909091,0.47539451305092606/0.0,0.6419671350082448/0.3333333333333333,0.5844590698726605/0.21428571428571427,0.5164059598814597/0.08333333333333333,0.5058625261417111/0.06451612903225806,0.5045716129624439/0.0625,0.5635259506978827/0.17391304347826086,0.5456976152083878/0.13793103448275862,0.6037349931244611/0.25
18e7f4034532,0.47774137439762865/0.0,0.5648844197211884/0.16666666666666666,0.5130157207931467/0.07407407407407407,0.9838709677419359/1.0,0.5356148480597291/0.1111111111111111,0.5130651512698764/0.07407407407407407,0.5137503098789005/0.07407407407407407,0.5436341738995681/0.125,0.4772080074229364/0.0,0.5121081861395316/0.07407407407407407,0.49786292209057065/0.058823529411764705,0.47660716372928985/0.0,0.4780630081041445/0.0,0.6067930274960189/0.25,0.5337314906098927/0.10526315789473684,0.4807691667690046/0.0,0.5648844197211884/0.16666666666666666,0.517784171793752/0.07692307692307693,0.514089524918005/0.07407407407407407,0.528219502159411/0.1,0.5648844197211884/0.16666666666666666,0.5158741169694265/0.07407407407407407,0.5394350000123966/0.11764705882352941,0.5605035536556531/0.16,0.5231543236949953/0.08695652173913043,0.509254753133119/0.06666666666666667,0.47981443328580825/0.0,0.5203876629685669/0.08,0.5598523047818174/0.16,0.4789630099933653/0.0,0.5165027134280018/0.08,0.5497888021002667/0.14285714285714285,0.5150171567427498/0.07407407407407407,0.47938398500306106/0.0,0.47795130350070997/0.0,0.536645536604202/0.1111111111111111,0.5357887181215648/0.1111111111111111,0.5149755017080883/0.07692307692307693,0.5215693233130239/0.08333333333333333,0.5254177522838221/0.09090909090909091,0.47958606305957685/0.0,0.522113459654369/0.08695652173913043,0.5474899852970498/0.13333333333333333,0.5185881195854471/0.07407407407407407,0.5610527322846535/0.16666666666666666,0.5159278984214108/0.07142857142857142,0.5443932439856028/0.13793103448275862,0.5390003686348327/0.11764705882352941,0.5219252691331315/0.09090909090909091,0.5125836209630266/0.07142857142857142,0.47916860709938447/0.0,0.5648844197211884/0.16666666666666666,0.4803405189260762/0.0,0.5222741592349469/0.08695652173913043,0.5354498176914532/0.1111111111111111,0.539404310465688/0.11764705882352941,0.5111205222387636/0.06896551724137931,0.5403746157996198/0.11764705882352941,0.5546153738187163/0.14814814814814814,0.5142762399770713/0.07407407407407407,0.5612231212740946/0.16666666666666666,0.4779616742039076/0.0,0.5231627815923723/0.08695652173913043,0.5128457049616124/0.07142857142857142,0.4793102436898262/0.0,0.5806543089853764/0.2,0.515756591973052/0.07407407407407407,0.5648844197211884/0.16666666666666666,0.47700780329365083/0.0,0.5252885731199528/0.09090909090909091,0.5648844197211884/0.16666666666666666,0.5169319437309867/0.07407407407407407,0.5300933862048715/0.1,0.5075281423094553/0.06451612903225806,0.5345651683365676/0.1111111111111111,0.5496141380368215/0.14814814814814814,0.5257479561999898/0.09523809523809523,0.47940206454756595/0.0,0.512300836018349/0.07142857142857142,0.4789107266675478/0.0,0.5648844197211884/0.16666666666666666,0.5191223553637475/0.08333333333333333,0.5648844197211884/0.16666666666666666,0.5185633105303772/0.07692307692307693,0.5199647510466687/0.08,0.5261862996568459/0.09090909090909091,0.5876878909968415/0.2222222222222222,0.5142858001098356/0.07407407407407407,0.5128862049946235/0.07407407407407407,0.5648844197211884/0.16666666666666666,0.5361343469541172/0.1111111111111111,0.47966529553108356/0.0,0.5030417891986447/0.0625,0.5202891645679176/0.08333333333333333,0.5278511964622251/0.1,0.5141119223054478/0.07407407407407407,0.51152561170283/0.07142857142857142,0.5851421478117793/0.21052631578947367,0.560530334627561/0.16,0.513845505042567/0.07142857142857142
0026bb009385,0.47797594966745005/0.0,0.6065551431239903/0.25,0.5639990803726239/0.17391304347826086,0.5356148480597291/0.1111111111111111,0.9838709677419359/1.0,0.5640819449598679/0.17391304347826086,0.5203673671057876/0.08695652173913043,0.5645268138682479/0.16666666666666666,0.47736221666609996/0.0,0.5188082188600274/0.08695652173913043,0.5360050988516087/0.13333333333333333,0.5657791184718945/0.17391304347826086,0.4781242955779448/0.0,0.5639855445705393/0.16666666666666666,0.5477135809762474/0.13333333333333333,0.48077322350514157/0.0,0.6065551431239903/0.25,0.5248572094903948/0.09090909090909091,0.5208395800383163/0.08695652173913043,0.47740279074027564/0.0,0.6065551431239903/0.25,0.5667974048960205/0.17391304347826086,0.5576438898363736/0.15384615384615385,0.527083283537973/0.09523809523809523,0.47889385734296/0.0,0.5539309926154024/0.15384615384615385,0.47989737675895533/0.0,0.5279960015598406/0.09523809523809523,0.5266727740741676/0.09523809523809523,0.47911250691585/0.0,0.5729105804196432/0.19047619047619047,0.5192122143349147/0.08333333333333333,0.5660972550750831/0.17391304347826086,0.47930298256242077/0.0,0.5456550674844105/0.13333333333333333,0.5525231028882622/0.14285714285714285,0.5516352937726297/0.14285714285714285,0.5685128202522685/0.18181818181818182,0.5299485790416039/0.1,0.4790021408608972/0.0,0.4795485842669573/0.0,0.5313760620889029/0.10526315789473684,0.5717354516599435/0.18181818181818182,0.48049778752641237/0.0,0.5777730365092207/0.2,0.5219808716443194/0.08333333333333333,0.5147384931036203/0.08,0.5572589545213311/0.15384615384615385,0.5319815965406376/0.1111111111111111,0.5612198978447324/0.16666666666666666,0.4792053287529787/0.0,0.6065551431239903/0.25,0.48028159092506334/0.0,0.5317051071035128/0.10526315789473684,0.5513366587408007/0.14285714285714285,0.557637424707769/0.15384615384615385,0.5576415152743608/0.16,0.5584782200470673/0.15384615384615385,0.5229453996395504/0.08695652173913043,0.5207652350398793/0.08695652173913043,0.5777835312378069/0.2,0.5224617007889646/0.08695652173913043,0.4786367724206454/0.0,0.5189460646325588/0.08333333333333333,0.47929252553690826/0.0,0.5420520712075609/0.125,0.5223511754506439/0.08695652173913043,0.6065551431239903/0.25,0.47723818474926777/0.0,0.5354209314651283/0.1111111111111111,0.6065551431239903/0.25,0.47892673432493377/0.0,0.542740038983117/0.125,0.5124850583347786/0.07407407407407407,0.5505775777652924/0.14285714285714285,0.5182188472799644/0.08695652173913043,0.5969088148848878/0.23529411764705882,0.4794791419789317/0.0,0.5185463675097884/0.08333333333333333,0.4789438893313259/0.0,0.6065551431239903/0.25,0.5274630621864107/0.1,0.6065551431239903/0.25,0.4791642618464564/0.0,0.5278008271414465/0.09523809523809523,0.5363228140915423/0.1111111111111111,0.5182246251269/0.08695652173913043,0.5209946158613722/0.08695652173913043,0.5195243764307376/0.08695652173913043,0.6065551431239903/0.25,0.5520689983116809/0.14285714285714285,0.4796826616571584/0.0,0.5442524612014132/0.14285714285714285,0.5289287169949513/0.1,0.5406125635601162/0.125,0.5206041695286338/0.08695652173913043,0.5176051145774666/0.08333333333333333,0.5456913759550939/0.13333333333333333,0.5758303671246803/0.19047619047619047,0.5625892870844142/0.16666666666666666
3451c9046918,0.5057510525741027/0.0625,0.5318646462519083/0.1111111111111111,0.597305759415733/0.24242424242424243,0.5110015258267352/0.07142857142857142,0.5597206541690043/0.16666666666666666,0.9679710149193168/0.9696969696969697,0.5977515411765248/0.24242424242424243,0.5215263953591428/0.09090909090909091,0.4734410631969325/0.0,0.5964095317670686/0.24242424242424243,0.6211608422380168/0.3,0.504452591979036/0.06060606060606061,0.47306078888694864/0.0,0.5213460573381586/0.09090909090909091,0.5158885300874914/0.08,0.4755271710775023/0.0,0.5318646462519083/0.1111111111111111,0.5385463404510569/0.125,0.5035832439051097/0.06060606060606061,0.47344697451886625/0.0,0.5318646462519083/0.1111111111111111,0.5674938253988452/0.18181818181818182,0.5193450183904521/0.08695652173913043,0.5072832519870996/0.06451612903225806,0.5102690018460574/0.06896551724137931,0.5582005603533586/0.16666666666666666,0.5144574647974207/0.07692307692307693,0.507505104342389/0.06451612903225806,0.5075874028943194/0.06451612903225806,0.5506754310868996/0.14814814814814814,0.5382329287235609/0.12903225806451613,0.5033440486680474/0.058823529411764705,0.5358293652895858/0.12121212121212122,0.515167755059406/0.08,0.5151966703867537/0.08,0.5177128450922319/0.08333333333333333,0.516718280797768/0.08333333333333333,0.5362888085950601/0.125,0.5084786397089172/0.06666666666666667,0.5109356441762113/0.07142857142857142,0.519164523255818/0.08695652173913043,0.5089129599837581/0.06896551724137931,0.5232169930091182/0.09523809523809523,0.47545362246533934/0.0,0.5408100521742231/0.13333333333333333,0.5357830547234647/0.11764705882352941,0.5594612785512192/0.17142857142857143,0.5194112391983127/0.08695652173913043,0.507765124492902/0.07142857142857142,0.594497394603623/0.23529411764705882,0.5172679104033671/0.08333333333333333,0.5318646462519083/0.1111111111111111,0.4751351035044158/0.0,0.5099099199539155/0.06896551724137931,0.5168817350635374/0.08333333333333333,0.5192744223392376/0.08695652173913043,0.5904163760962626/0.22857142857142856,0.519787351565918/0.08695652173913043,0.5365190371100721/0.12121212121212122,0.5348149113845613/0.12121212121212122,0.5756848981439673/0.2,0.505356250378031/0.06060606060606061,0.47398520176408687/0.0,0.5022423290466279/0.058823529411764705,0.47406867685845233/0.0,0.5135641540994569/0.07692307692307693,0.5676490950084754/0.18181818181818182,0.5318646462519083/0.1111111111111111,0.47306491555321545/0.0,0.5472806347767948/0.14285714285714285,0.5318646462519083/0.1111111111111111,0.5053572697755329/0.06060606060606061,0.5928127088816214/0.23076923076923078,0.4994258872569316/0.05405405405405406,0.5158798566884044/0.08333333333333333,0.5332127565638098/0.12121212121212122,0.6636265787019131/0.37037037037037035,0.4745904167428039/0.0,0.5029947122660822/0.058823529411764705,0.4737836746307796/0.0,0.5318646462519083/0.1111111111111111,0.5754458121096474/0.2,0.5318646462519083/0.1111111111111111,0.4747331965544372/0.0,0.5409254070132961/0.12903225806451613,0.5117603136232213/0.07142857142857142,0.5023885011640832/0.06060606060606061,0.5043467435352681/0.06060606060606061,0.5030673859347193/0.06060606060606061,0.5318646462519083/0.1111111111111111,0.5599056537439198/0.16666666666666666,0.4746732711963135/0.0,0.5505446132062439/0.15789473684210525,0.5081727367753794/0.06666666666666667,0.5517028667722581/0.15384615384615385,0.5030318623699593/0.06060606060606061,0.5321737535503501/0.11764705882352941,0.5559792038363537/0.16,0.5405459200431042/0.12903225806451613,0.5348391300980037/0.11764705882352941
2002af036879,0.5081397054280374/0.06451612903225806,0.5365795903891504/0.11764705882352941,0.6346125993083047/0.3125,0.5137503098789005/0.07407407407407407,0.5203673671057876/0.08695652173913043,0.6022184249889452/0.25,0.9838709677419359/1.0,0.5251025564978924/0.09523809523809523,0.47481034172273906/0.0,0.5687438094814466/0.1875,0.6259661901018303/0.3076923076923077,0.474707596268358/0.0,0.4744583149737444/0.0,0.5249862115220651/0.09523809523809523,0.5189881488456284/0.08333333333333333,0.47697414135853694/0.0,0.5365795903891504/0.11764705882352941,0.5083952946745054/0.06451612903225806,0.5058324491428782/0.0625,0.4748016208405345/0.0,0.5365795903891504/0.11764705882352941,0.539636547940177/0.125,0.5227267226692202/0.09090909090909091,0.5097515996474904/0.06666666666666667,0.5128529212996574/0.07142857142857142,0.561602674419203/0.17142857142857143,0.5173944198454865/0.08,0.5100144169999056/0.06666666666666667,0.5100274932253502/0.06666666666666667,0.51515406588908/0.07692307692307693,0.507312435608295/0.06666666666666667,0.5056227795337589/0.06060606060606061,0.5069137504496404/0.0625,0.5182564043835726/0.08333333333333333,0.47568160851159796/0.0,0.5210064143274956/0.08695652173913043,0.519989566545935/0.08695652173913043,0.5063159814935647/0.06451612903225806,0.5111116503997332/0.06896551724137931,0.5136616428424634/0.07407407407407407,0.522582792419618/0.09090909090909091,0.5115697790412636/0.07142857142857142,0.5270768271520844/0.1,0.4768887776785306/0.0,0.5091304416690138/0.06896551724137931,0.5389283376804408/0.12121212121212122,0.53273644903192/0.11764705882352941,0.5227847316483906/0.09090909090909091,0.5106016350558129/0.07407407407407407,0.5682555436845983/0.18181818181818182,0.5204788482004353/0.08695652173913043,0.5365795903891504/0.11764705882352941,0.5232106020022952/0.09090909090909091,0.6225520500074941/0.2857142857142857,0.5199838505921334/0.08695652173913043,0.5226367249363412/0.09090909090909091,0.503938227837738/0.058823529411764705,0.5232106064319311/0.09090909090909091,0.5398696386450919/0.125,0.5378761154361236/0.125,0.509644854388965/0.06896551724137931,0.4755353735955076/0.0,0.4752663641371015/0.0,0.536078754639105/0.12121212121212122,0.47558001562284047/0.0,0.5165100296698578/0.08,0.5395907184347712/0.125,0.5365795903891504/0.11764705882352941,0.5387975874942755/0.125,0.5513813289624697/0.14814814814814814,0.5365795903891504/0.11764705882352941,0.4755639145983985/0.0,0.5578758168986512/0.16,0.5014602571121406/0.05555555555555555,0.5191395685436808/0.08695652173913043,0.5363291035106561/0.125,0.5932788975892033/0.23076923076923078,0.5366636170490331/0.11764705882352941,0.5364870107036779/0.12121212121212122,0.47526205310216924/0.0,0.5365795903891504/0.11764705882352941,0.5801017872524585/0.20689655172413793,0.5365795903891504/0.11764705882352941,0.4760586485428821/0.0,0.5443655048465877/0.13333333333333333,0.5145190398646448/0.07407407407407407,0.5365546180888523/0.125,0.6033259689500169/0.25,0.5050952990500478/0.0625,0.5365795903891504/0.11764705882352941,0.5205398596031539/0.08695652173913043,0.4760586027974263/0.0,0.5537974959134004/0.16216216216216217,0.5815887135759087/0.20689655172413793,0.5152670443377428/0.08,0.5055004404919999/0.0625,0.5352472082179669/0.12121212121212122,0.5607272380682706/0.16666666666666666,0.5098662302297229/0.06666666666666667,0.5379852742599867/0.12121212121212122
0017ca002223,0.47879341509386314/0.0,0.6080934979350112/0.25,0.52028699965163/0.08695652173913043,0.5366897294551237/0.1111111111111111,0.552622051963486/0.14285714285714285,0.5202944026684819/0.08695652173913043,0.52096176974841/0.08695652173913043,0.9005376344086027/0.8333333333333334,0.47820135443007916/0.0,0.5194670864343348/0.08695652173913043,0.5022834981711973/0.06666666666666667,0.4774823517269204/0.0,0.4795166143242516/0.0,0.5652585414374851/0.16666666666666666,0.549171440584951/0.13333333333333333,0.4823115783161625/0.0,0.6080934979350112/0.25,0.5258605812814366/0.09090909090909091,0.5215378189000743/0.08695652173913043,0.47820778188247387/0.0,0.6080934979350112/0.25,0.5231504349907817/0.08695652173913043,0.5587963090080644/0.15384615384615385,0.5280125710528584/0.09523809523809523,0.5333866745319797/0.10526315789473684,0.5151814954304799/0.07692307692307693,0.5445943869641033/0.125,0.5293929842758471/0.09523809523809523,0.527366283059154/0.09523809523809523,0.48016369875145576/0.0,0.5251261681513295/0.09523809523809523,0.5198198522194253/0.08333333333333333,0.5224284020358709/0.08695652173913043,0.48064406312369945/0.0,0.4789602051840987/0.0,0.5539930256618594/0.14285714285714285,0.5530664821548658/0.14285714285714285,0.5229120622076483/0.09090909090909091,0.5311343226929042/0.1,0.4801265764480238/0.0,0.48076627878434314/0.0,0.5322898181661254/0.10526315789473684,0.5732652878223912/0.18181818181818182,0.4819611156706937/0.0,0.5785260789724869/0.2,0.522860440001482/0.08333333333333333,0.5152908392414479/0.08,0.5581089234498078/0.15384615384615385,0.5331831769665143/0.1111111111111111,0.5192063856052581/0.08333333333333333,0.4802274966428968/0.0,0.6080934979350112/0.25,0.48180634821269025/0.0,0.5323652053344576/0.10526315789473684,0.5526236318207006/0.14285714285714285,0.5587829310508976/0.15384615384615385,0.5173884103110215/0.08,0.5600165748580881/0.15384615384615385,0.5239404393974464/0.08695652173913043,0.5216593029952826/0.08695652173913043,0.5274710232087736/0.1,0.47893190352533305/0.0,0.4800180647173619/0.0,0.5198359899292478/0.08333333333333333,0.4808216771160626/0.0,0.5429123189502246/0.125,0.5232122179419544/0.08695652173913043,0.6080934979350112/0.25,0.4781458549190367/0.0,0.5366270438434025/0.1111111111111111,0.6080934979350112/0.25,0.480150675060708/0.0,0.5437002335041593/0.125,0.5130314876573175/0.07407407407407407,0.5516698795067863/0.14285714285714285,0.518781013288608/0.08695652173913043,0.5377936870327505/0.11764705882352941,0.480703658145495/0.0,0.5191193145245148/0.08333333333333333,0.48043393575382803/0.0,0.6080934979350112/0.25,0.5283241369621258/0.1,0.6080934979350112/0.25,0.5267632327246619/0.09090909090909091,0.5287720438659758/0.09523809523809523,0.537461772074924/0.1111111111111111,0.5631627347894431/0.17391304347826086,0.521655120954363/0.08695652173913043,0.5202136589566524/0.08695652173913043,0.6080934979350112/0.25,0.5533543853210351/0.14285714285714285,0.4811547690435168/0.0,0.5448314392127412/0.14285714285714285,0.5296828867880419/0.1,0.5414557870109005/0.125,0.5216232026332531/0.08695652173913043,0.518315593241332/0.08333333333333333,0.5463777675931624/0.13333333333333333,0.5280300770185713/0.09523809523809523,0.520657038559341/0.08333333333333333
