  ,alice1,alice2,bob1,bob2,charlie1,charlie2,diana1,diana2,ethan1,ethan2,fred1,fred2,greta1,greta2,harriet1,harriet2,indigo1,indigo2,james1,james2,kyle1,kyle2,lily1,lily2,michael1,michael2,nancy1,nancy2
indigo2,0.9496458361367822,0.953995028318873,0.966642458681129,0.9562984705511621,0.9686899690785604,0.9700026055861534,0.9484989193718993,0.9406837969031085,0.9449571527156109,0.9410107910379014,0.9546389344559155,0.9547045461508088,0.9650552412199063,0.9574663052076888,0.9631913560965961,0.9620708218012322,0.9875438757728523,1.0,0.9821257518398946,0.980342298589024,0.9566417600708272,0.9536883654302363,0.9294712770430069,0.9324884883949626,0.9561609131479619,0.9558556424406016,0.9378446922267912,0.938735953681372
james1,0.9416133779705884,0.9459625701526791,0.9735470427428871,0.9653512082376411,0.9717812330716563,0.9714356996724836,0.9491158189011845,0.9306155393119453,0.956239019760901,0.9526607853871248,0.9650468733463643,0.9607393410141225,0.9583615295833946,0.9572198824833781,0.960530596892837,0.961931290023103,0.9733974765308181,0.9821257518398946,1.0,0.993342178619089,0.9541496916246801,0.95081945776474,0.9234394509972095,0.9290081130914054,0.9581655396325903,0.9552267899210506,0.9343019926763365,0.9337467291646553
james2,0.9478012049070172,0.9521503970891081,0.9709921735505018,0.9606739800340498,0.9723751778550391,0.9718365427817667,0.9493129621109123,0.930670258955125,0.9577975238673085,0.9544304834747952,0.9668393115800423,0.9633788016842354,0.9568422639586569,0.9608690042696952,0.9601995377587312,0.964226966158002,0.9713136460119582,0.980342298589024,0.993342178619089,1.0,0.9542396041499985,0.9521762621819502,0.9234234347991657,0.9293927379190026,0.957941444332069,0.9550026946205292,0.9343517539530108,0.9349328967865287
kyle1,0.9586516592761373,0.9591316858506816,0.9680513079166696,0.9736398521295815,0.9673753596549555,0.9645828055234227,0.9555720015410107,0.9429049090510104,0.9643600292215365,0.9653072347127537,0.961535832355877,0.9697452327378905,0.9419965130945192,0.9486209588163053,0.9729012438072221,0.9762359287318965,0.9463805271071248,0.9566417600708272,0.9541496916246801,0.9542396041499985,1.0,0.9906519457633779,0.9567278940260583,0.9612688702751623,0.960095174848045,0.9658512970433272,0.9479113679619272,0.9497085536626035
kyle2,0.9669971926825411,0.9637135872039797,0.9639289309761289,0.9695310931116701,0.9685460045164462,0.9685692168825875,0.9615528964644535,0.9482899734352904,0.9724416604037556,0.9715768541805213,0.9664009298403333,0.9750083506314658,0.9381255688016055,0.9464903912637682,0.9687236188313858,0.9741053611793594,0.9430857948940202,0.9536883654302363,0.95081945776474,0.9521762621819502,0.9906519457633779,1.0,0.9576031394983219,0.9620989059346716,0.963056262636155,0.9688123848314371,0.9540190130646352,0.9570730475678916
lily1,0.94074579097806,0.9408484289409078,0.9419967904535134,0.950359199764778,0.9326446410380087,0.9310758174074958,0.9318295820195059,0.9360711369129627,0.9440804883846374,0.9449486016142037,0.9318658092512428,0.9439652876505665,0.9229011295861792,0.927093181944203,0.9456562079871085,0.9456853485841011,0.9258902958336162,0.9294712770430069,0.9234394509972095,0.9234234347991657,0.9567278940260583,0.9576031394983219,1.0,0.9876317125021788,0.9332110253501185,0.9380861257771156,0.9264435737954494,0.9273077391909098
lily2,0.9465994493262473,0.9447668349388103,0.9422293310751085,0.9478487936779092,0.9375794115179679,0.935721995053834,0.9360508767079354,0.931422484881719,0.9525364194129926,0.95602883937795,0.9369079679043434,0.9481056524787732,0.9210952654141097,0.9288129587977745,0.9442510185226977,0.9516546517039381,0.9244546475829845,0.9324884883949626,0.9290081130914054,0.9293927379190026,0.9612688702751623,0.9620989059346716,0.9876317125021788,1.0,0.9304522516259881,0.9371233290644795,0.9318423063230938,0.9361068887900629
michael1,0.957785289517355,0.9610758931720964,0.9646172443241069,0.9631670492271733,0.9814831708842305,0.982673941213642,0.9692383388103133,0.9637280140171688,0.9546952029301358,0.9492081829377316,0.9666057660578431,0.9628097182406835,0.9377996945456089,0.9435525249692808,0.9592934798601336,0.9561143211010378,0.9552625569732158,0.9561609131479619,0.9581655396325903,0.957941444332069,0.960095174848045,0.963056262636155,0.9332110253501185,0.9304522516259881,1.0,0.9922967502633296,0.9620847770449521,0.9589438411479887
michael2,0.9645060373513752,0.9659689505961281,0.9645376672363697,0.9623930276949917,0.9790776886521594,0.9818587203104697,0.9722602089209299,0.9664887577967032,0.9585086362284945,0.9530216162360902,0.9675600267323992,0.9666231515390421,0.9388853182855449,0.9426521702244114,0.957450856021634,0.958179882769407,0.9519086842885391,0.9558556424406016,0.9552267899210506,0.9550026946205292,0.9658512970433272,0.9688123848314371,0.9380861257771156,0.9371233290644795,0.9922967502633296,1.0,0.9659378785862996,0.9627969426893362
nancy1,0.9574611323016172,0.9542195217476769,0.9316985673808837,0.9285075128439878,0.9582537716217829,0.9606676916817846,0.9736485705173135,0.9745392456281409,0.9415330332686005,0.9364096150051696,0.9501232334589164,0.9456488280461065,0.9271403573785022,0.9362015489458859,0.9375168843449687,0.9461003599833263,0.932596552962368,0.9378446922267912,0.9343019926763365,0.9343517539530108,0.9479113679619272,0.9540190130646352,0.9264435737954494,0.9318423063230938,0.9620847770449521,0.9659378785862996,1.0,0.9920183187719005
nancy2,0.9616321239285137,0.9580700005540606,0.9334797798717289,0.9302759672810246,0.9572186087711226,0.9596421531697656,0.9733367243429351,0.9729037374377457,0.9464824131738853,0.9415617681041933,0.950011002129777,0.9498198196730031,0.9229178383053772,0.9342464841997704,0.9329224774212658,0.9444283331899339,0.9301983407327381,0.938735953681372,0.9337467291646553,0.9349328967865287,0.9497085536626035,0.9570730475678916,0.9273077391909098,0.9361068887900629,0.9589438411479887,0.9627969426893362,0.9920183187719005,1.0

