device,trust
109add024082,0.9821717494781704
60fb42079082,0.9821189039749202
7073cb088663,0.9819896083244806
cc08e0135330,0.9821444518171389
0026bb009459,0.9821881628018623
0017ca002224,0.9819662754462267
00254b007370,0.9821274038843218
0c6076020248,0.9483125369168992
e0f847148859,0.9819037095747519
109add024312,0.981841927281331
7c11be096603,0.981989567817387
7cc537098703,0.9817229059104844
28e02c043055,0.9818267548775429
88308a102837,0.9822060910254262
542696068150,0.9817864439774155
040cce014434,0.9811102706023554
68a86d083601,0.9817376263883872
88c663104604,0.9817547988655416
6021c0076506,0.9817616089733129
28e02c042984,0.9815672035381486
182032029674,0.9821275560708038
147dc5026866,0.9822440957796205
64b9e8081196,0.9817689064244123
8c7b9d106646,0.9816308721957049
40a6d9056065,0.981855068569804
f0b479155600,0.9819479596919861
64b9e8081167,0.9819574661680763
286aba041402,0.9817760256719771
28e02c043509,0.981804358398319
f81edf161137,0.9820179961957616
8c7b9d106410,0.9819527178169742
88c663104592,0.982121763219373
28e02c043588,0.9813468403078504
50465d063961,0.9818743277188007
705681088302,0.9818121655206613
00242b006680,0.9686014544109759
90840d109338,0.9823047616115061
148fc6028097,0.9819737190482251
88c663104770,0.9819630125820669
44d884059645,0.9819221688253078
109add024039,0.9823077489569694
b8c75d126917,0.9821525519959148
147dc5026954,0.9818547992312788
7073cb088467,0.981819798677963
44d884059748,0.9816456773792089
e4b021150223,0.9806833040372128
6c3e6d085221,0.9824605324974738
3c438e052183,0.9818048611673181
f0b479155516,0.9818886168078383
9803d8111568,0.9817130084669621
3085a9045469,0.982082405820799
001de0003331,0.9817578442577131
a8fad8122072,0.981853072108714
d49a20139413,0.9822694452504754
cc08e0134790,0.9816802938105097
6021c0076502,0.9818410431880451
dc2b61144989,0.9820850774526686
f81edf161641,0.9816697229145791
44d884059740,0.9819218421339644
182032030322,0.9819649768421247
8c7b9d106420,0.9816202157796952
0c74c2021359,0.9817813491231291
206432038945,0.9820576316051494
5c5948074075,0.9821785776842913
283737041212,0.9818734557794465
e0f847148902,0.9819101746525541
cc08e0135137,0.9821728038570998
7c6d62097654,0.982119175130314
88c663104858,0.9818456190992793
5855ca070213,0.9823838928689461
182032029989,0.9817603375064773
286aba041309,0.9822590240630598
fc253f163210,0.9819112174395553
e0f847148105,0.98210772225079
e0f847149151,0.9818020379291313
842999100759,0.9822298893597992
28e02c042733,0.9820767434116411
cc08e0136067,0.9819470666713276
88c663104655,0.9820208536520171
e80688151598,0.9817688467300533
145a05025821,0.9820146256770343
f0b479155562,0.9820634950261716
b8c75d126800,0.9821115050577631
98d6bb114806,0.982214309167988
a00bba118148,0.9819076574982386
2002af036879,0.982206156757678
980c82112733,0.9820618191865779
109add024303,0.9826518154425359
d83062139891,0.9820111404877216
0c74c2021221,0.9820097388634336
d49a20139461,0.982290769946844
980c82113165,0.9817062594883817
7c11be096991,0.9817978810620938
5c0a5b072221,0.981692452511962
d89e3f142438,0.9810268318875752
206432039443,0.9822554096860743
a0f450118887,0.9822762486778435
206432038423,0.9822471734243122
0026b0009120,0.9816996171360367
e0f847148097,0.9819977090241776
5855ca070231,0.9823272284473025
98d6bb114799,0.981789351016528
0c715d020376,0.981687810732016
a826d9120693,0.9811675543626394
b8c75d126696,0.9820338907856639
d83062140043,0.9820297605400597
24ab81040129,0.9819192782240133
4860bc060610,0.982047944798944
109add023983,0.9821776106902373
842999100730,0.9818272893238169
0026b0009117,0.9819245721179567
1c4bd6034849,0.9522459704837741
145a05025319,0.9821925467608685
045453016567,0.9817772830229561
3451c9046918,0.9823305872460582
28987b041642,0.9822398274622028
7c6d62097684,0.9818469638334585
28cfe9042367,0.9816765807422306
5c5948074152,0.9817766887910931
b8ff61127536,0.9821187514420577
581faa069082,0.9819099948387751
002608007987,0.9821329177049322
1040f3023247,0.9817676124343501
24ab81040210,0.9818670840189629
189efc033126,0.982028393148882
88c663104717,0.9819234771754556
e4ce8f150404,0.9822703226638684
145a05026365,0.9820286181088588
bc6778129778,0.9819847479410097
58b035070633,0.9818618633385818
e4ce8f150857,0.9817655858371642
6c3e6d085592,0.9818935505845277
64b9e8081145,0.9824272865857607
90840d109077,0.9819879678407809
8c7b9d106470,0.9822704399952523
d05162137743,0.9821933152226423
148fc6027565,0.981978718313208
206432039465,0.9818940383493193
283737041087,0.9822801309240683
5c5948074143,0.9822336646405505
6c3e6d085428,0.9822242256726302
cc08e0136143,0.9821251872440515
980c82112898,0.982004383845543
f0b479155459,0.9822496010443232
182032030279,0.9822115209115875
7cc537098812,0.9821070544510744
f0b479155543,0.9818454781134128
6cc26b086879,0.9821103461909232
4860bc060176,0.9816097413985151
b8c75d126841,0.9817509563944099
fc253f162845,0.9823229685870337
6c3e6d085793,0.9815806483708285
6c3e6d084735,0.9821734798215723
7cc537099172,0.9821756673082427
205476037762,0.98156257090264
206432038760,0.9818045996382911
581faa069211,0.9820241781795794
a07591118678,0.9826114349249502
50465d063918,0.9816273220097282
0c771a022438,0.9818344054982218
e80688151451,0.9820092412248279
d8a25e143230,0.9821756673810476
145a05025960,0.9814133828489758
f0b479155340,0.981699921814069
bcb1f3130520,0.9817530145740633
14109f025044,0.9817788428662303
040cce014637,0.9820711884427834
283737041027,0.9820903415264741
206432039373,0.9820604318059911
40a6d9056412,0.9808108519142906
040cce014507,0.9821849815245757
18e7f4034555,0.9819837454181548
206432039488,0.9818495920276259
3ce072054010,0.9816330026197827
206432038948,0.9819399044375067
1093e9023590,0.9821179791532686
28cfda042319,0.9818129250710037
50ead6065435,0.9818059150933911
581faa068942,0.9820090428639734
5855ca070177,0.9819686434219382
e80688151346,0.9820391349048899
7073cb088531,0.98179052716476
9803d8111454,0.9820332188874809
5cb524075681,0.9816913707470345
e0f847149220,0.9818335724204206
cc08e0135180,0.9820186703088241
b8c75d126723,0.9818261002366172
f0b479155307,0.9820750727811772
7073cb088616,0.982260114829184
002332005862,0.9822834348143816
cc08e0135581,0.9820438291899053
e80688151355,0.9819134363826678
4860bc060434,0.9818608483846585
206432038990,0.9818947412401274
145a05025549,0.9818042713724636
6c3e6d085739,0.9819829665575726
64b9e8080954,0.9816417214015449
00254b007356,0.9820126450018479
50465d064006,0.98223145367787
50ead6065693,0.9818021753691895
206432038564,0.9821465559014094
50465d064003,0.9818598948506673
fca13e163292,0.9814885557265727
18e7f4034374,0.9820878754276297
542696067628,0.9819137183061748
d05162137978,0.9817547867578621
189efc033405,0.9821120977597547
283737041196,0.9822352573347788
b8c75d126600,0.9816183434379304
